Permission,CSAgents
- Access : Patch Outstanging Config,
- Access : View Withdraw Settlement Overview,
- Access : Get Settlement Account Toppay Bot,
- Access : Edit Settlement Account Toppay Bot,
- Access : Get Settlement Account Vaderpay Bot,
- Access : Edit Settlement Account Vaderpay Bot,
- Access : Get Settlement Account Bitpay Bot,
- Access : Edit Settlement Account Bitpay Bot,
- Access : Get Settlement Account Mtpay Bot,
- Access : Edit Settlement Account Mtpay Bot,
- Access : Get Settlement Account Kissvip Bot,
- Access : Edit Settlement Account Kissvip Bot,
- Access : Get Settlement Account Smilepay Bot,
- Access : Edit Settlement Account Smilepay Bot,
- Access : Get Settlement Account Twosecpay Bot,
- Access : Edit Settlement Account Twosecpay Bot,
- Access : Find Withdrawal Config Verify,
- Access : Get Withdrawal Config Verify,
- Access : Create Withdrawal Config Api Face Verify,
- Access : Remove Withdrawal Config Api Face Verify,
- Access : Get Settlement Account Corepay Bot,
- Access : Edit Settlement Account Corepay Bot,
- Access : Get Settlement Account Luckypay Bot,
- Access : Edit Settlement Account Luckypay Bot,
- Menu : Promotion,TRUE
- Access : Search Promotion Information,TRUE
- Access : Find Promotion Freespin,
- Access : View Promotion Information,TRUE
- Access : Create Promotion Freespin,
- Access : Get Detail Promotion Information,TRUE
- Access : Patch Promotion Freespin,
- Access : Create Promotion Information,
- Access : Remove Promotion Freespin,
- Access : Edit Promotion Information,
- Access : Remove Promotion Information,
- Access : View Bonus Payout Setting,TRUE
- Access : Get Detail Bonus Payout Setting,TRUE
- Access : Create Bonus Payout Setting,
- Access : Edit Bonus Payout Setting,
- Access : Remove Bonus Payout Setting,
- Access : View Bonus Release Setting,TRUE
- Access : Get Details Bonus Release Setting,TRUE
- Access : Create Bonus Release Setting,
- Access : Edit Bonus Release Setting,
- Access : Remove Bonus Release Setting,
- Access : View Bonus Language Setting,TRUE
- Access : Get Details Bonus Language Setting,TRUE
- Access : Create Bonus Language Setting,
- Access : Edit Bonus Language Setting,
- Access : Remove Bonus Language Setting,
- Access : Upload Promotion Images,TRUE
- Access : Upload Promotion Images,TRUE
- Access : Find Member Join Promotion,TRUE
- Access : Find Promotion Member Report And Current,TRUE
- Access : Patch Status Promotion Member,TRUE
- Access : Find Layout Position,TRUE
- Access : Get Layout Position,TRUE
- Access : Promotion Update Seq No,TRUE
- Access : Assgin Promotion Member,TRUE
- Access : Pre Assgin Promotion Member,TRUE
- Menu : CMS,TRUE
- Access : Request Upload Cms,
- Access : Find Tag Member Management,
- Access : Create Tag Member Management,
- Access : Upload Mcs,
- Access : Find Sytem Config,
- Access : Patch Tag Member Management,
- Access : Get Sytem Config,
- Access : Remove Tag Member Management,
- Access : Create Sytem Config,
- Access : Find Tag Transaction,
- Access : Patch Sytem Config,
- Access : Create Tag Transaction,
- Access : Create Note User,TRUE
- Access : Get Note User,TRUE
- Access : Remove Note User,TRUE
- Access : Remove Banner,
- Access : Patch Banner,
- Access : Create Banner,
- Access : Find Banner,
- Access : Create System_banner,
- Access : Find System_banner Search,
- Access : Search Vendor,
- Access : Eidt Vendor,
- Access : Find Vendor,
- Access : Set Is Active Multi Vendor,
- Access : Serch Provider,
- Access : Find Provider,
- Access : Set Is Active Multi Provider,
- Access : Create Bet Limit,
- Access : Lotto Config,
- Access : Provider Config,
- Access : Search Game List,
